province,study,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,1,180,310,335,330,375,175,525,840,850
0,2,1375,1595,1760,1835,2135,1180,2735,3010,3220
0,3,90,85,150,145,115,35,40,50,75
0,0,0,0,0,0,0,0,0,0,0
1,1,175,205,270,450,400,290,475,590,750
1,2,500,760,905,1060,1260,735,1215,1600,1860
1,3,235,215,280,370,240,270,205,225,480
1,0,0,0,0,0,0,0,0,0,0
2,1,1215,1425,1580,1645,1755,990,1445,2495,3755
2,2,4215,4840,5070,6795,7215,3710,7775,9715,11520
2,3,865,805,1215,1580,1445,375,785,955,810
2,0,0,0,5,0,10,0,0,0,10
3,1,415,570,725,925,1010,515,1460,1995,2955
3,2,1785,1815,1945,2410,3150,1650,4295,5525,7765
3,3,125,240,245,400,210,105,170,135,205
3,0,0,0,0,0,0,0,0,0,5
4,1,2530,2975,3570,3960,5410,3695,6040,6750,9980
4,2,24555,26540,29515,34585,44885,33255,51420,49895,59720
4,3,3250,4045,5100,5610,6955,5625,6230,6255,8475
4,0,25,15,15,20,15,15,10,10,15
5,1,21310,24900,29215,30730,33000,20800,24405,31545,45350
5,2,64090,85970,107750,122975,146570,93170,180575,238590,295590
5,3,11940,14390,20630,22635,20555,7325,16275,21565,23570
5,0,55,50,55,60,60,40,60,80,100
6,1,1045,1235,1495,1510,1670,1230,2315,3050,4450
6,2,5210,6390,7715,9145,9420,6690,9395,10760,13775
6,3,730,1000,1355,1440,1040,540,970,1090,1090
6,0,5,0,0,5,0,0,5,0,5
7,1,965,995,915,900,1090,845,1320,1940,2880
7,2,2705,3085,3195,4230,4675,2520,4835,6155,8760
7,3,265,270,430,655,500,130,255,340,455
7,0,0,5,0,0,0,0,0,5,15
8,1,4135,3925,3895,3965,4610,3225,4870,7225,11860
8,2,8705,10390,10890,12925,14215,8880,17755,20125,28635
8,3,1855,2065,1960,1955,1715,825,1175,1285,1580
8,0,10,10,5,5,25,0,10,5,20
9,1,17365,19325,20135,19690,20130,13365,20895,24095,27710
9,2,30260,37495,46030,51615,56780,42365,65495,77975,91835
9,3,9815,9620,11145,11245,10000,3865,8330,9200,7905
9,0,50,40,35,35,35,25,65,35,45
10,1,0,10,15,20,35,35,80,85,140
10,2,25,35,170,55,85,75,115,75,110
10,3,10,10,10,0,10,0,0,0,5
10,0,0,0,0,0,0,0,0,0,0
11,1,15,20,20,20,25,15,20,30,35
11,2,5,0,0,0,0,5,10,10,10
11,3,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0,0,5
12,3,0,0,0,0,0,0,0,0,0
